epoch,val_mAP,val_precision,val_recall,val_F1
1,0.2846209040899306,0.2846209040899306,0.7747395833333334,0.41630225642819657
2,0.3214811181951937,0.3214811181951937,0.853515625,0.4670466690416814
3,0.34917064942367165,0.34917064942367165,0.80859375,0.4877282544669154
4,0.5608656447249775,0.5608656447249775,0.8098958333333334,0.6627597229621737
5,0.5893358278765201,0.5893358278765201,0.8203125,0.6859009254218835
6,0.7832210655235763,0.7832210655235763,0.8326822916666666,0.807194698643105
7,0.48876611418047883,0.48876611418047883,0.8639322916666666,0.624323688543872
8,0.2285370879120879,0.2285370879120879,0.8665364583333334,0.36168478260869563
9,0.7600969305331179,0.7600969305331179,0.6126302083333334,0.6784426820475847
10,0.5793103448275863,0.5793103448275863,0.875,0.6970954356846473
11,0.7428337428337428,0.7428337428337428,0.5904947916666666,0.6579615524120419
12,0.6115569823434992,0.6115569823434992,0.744140625,0.6713656387665198
13,0.6226862838158519,0.6226862838158519,0.8541666666666666,0.7202854790008235
14,0.8237139272271017,0.8237139272271017,0.8548177083333334,0.8389776357827478
15,0.7620967741935484,0.7620967741935484,0.369140625,0.4973684210526315
16,0.7141355754072517,0.7141355754072517,0.884765625,0.7903460308229135
17,0.7795138888888888,0.7795138888888888,0.876953125,0.8253676470588235
18,0.7945041816009558,0.7945041816009558,0.8658854166666666,0.8286604361370716
19,0.7400662251655629,0.7400662251655629,0.873046875,0.8010752688172043
20,0.7971445568114218,0.7971445568114218,0.8723958333333334,0.833074292819397
21,0.8145454545454546,0.8145454545454546,0.875,0.8436911487758946
22,0.851159793814433,0.851159793814433,0.8600260416666666,0.8555699481865284
23,0.7690124858115778,0.7690124858115778,0.8821614583333334,0.8217101273499091
24,0.8062796208530806,0.8062796208530806,0.8860677083333334,0.8442928039702233
25,0.7765651924181505,0.7765651924181505,0.8802083333333334,0.8251449496490691
26,0.8625162127107653,0.8625162127107653,0.8658854166666666,0.8641975308641976
27,0.8358413132694938,0.8358413132694938,0.7955729166666666,0.8152101400933957
28,0.7506024096385542,0.7506024096385542,0.8111979166666666,0.7797246558197746
29,0.8034875922199866,0.8034875922199866,0.7799479166666666,0.7915427816319788
30,0.8089053803339518,0.8089053803339518,0.8515625,0.8296860133206471
31,0.813953488372093,0.813953488372093,0.8658854166666666,0.8391167192429022
32,0.8166969147005445,0.8166969147005445,0.87890625,0.8466603951081845
33,0.8184634448574969,0.8184634448574969,0.8600260416666666,0.8387301587301588
34,0.8135384615384615,0.8135384615384615,0.8606770833333334,0.8364441632394811
35,0.8281150159744409,0.8281150159744409,0.84375,0.8358594001934861
36,0.8307593307593307,0.8307593307593307,0.8404947916666666,0.8355987055016181
37,0.8223642172523962,0.8223642172523962,0.837890625,0.8300548210254757
38,0.8079027355623101,0.8079027355623101,0.865234375,0.835586293618359
39,0.8142244022072348,0.8142244022072348,0.8645833333333334,0.8386485633091254
40,0.8162522741055185,0.8162522741055185,0.8763020833333334,0.8452119309262167
41,0.7786083956296722,0.7786083956296722,0.8815104166666666,0.8268702290076336
42,0.8221680876979294,0.8221680876979294,0.87890625,0.8495909376966645
43,0.8140520896426409,0.8140520896426409,0.875,0.8434264198305617
44,0.8172959805115713,0.8172959805115713,0.8736979166666666,0.8445563247325362
45,0.8128019323671497,0.8128019323671497,0.8763020833333334,0.843358395989975
46,0.8067025733093955,0.8067025733093955,0.8776041666666666,0.8406610539444965
47,0.8047761194029851,0.8047761194029851,0.8776041666666666,0.8396138274680784
48,0.819672131147541,0.819672131147541,0.87890625,0.8482563619227144
49,0.8117859290438966,0.8117859290438966,0.87890625,0.8440137542982183
50,0.8135184067592034,0.8135184067592034,0.8776041666666666,0.8443470090823677
